Player_id,Player,Country,Image,Description,Batting Style,Bowling Style,Playing Role,Flags
293,Shai Hope,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320100/320122.png",West Indian wicketkeeper-batsman recognized for his reliable batting and crucial innings in all formats.,Right-hand,-,Wicketkeeper-batsman,https://i.postimg.cc/zXpc89Nr/windies.png
182,Babar Azam,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320448.png",Pakistani top-order batsman known for his stylish and consistent performances.,Right-hand bat,-,Batter,https://i.postimg.cc/x8593tzS/pakistan.png
184,Fakhar Zaman,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320449.png",Pakistani opener known for his aggressive batting and match-winning innings.,Left-hand bat,-,Batter,https://i.postimg.cc/x8593tzS/pakistan.png
189,Imad Wasim,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320451.png",Pakistani all-rounder known for his spin bowling and handy lower-order batting.,Left-hand bat,Slow left-arm orthodox,All-rounder,https://i.postimg.cc/x8593tzS/pakistan.png
335,Mohammad Amir,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320457.png",Pakistani fast bowler known for his swing and impactful performances.,Left-hand bat,Left-arm fast,Bowler,https://i.postimg.cc/x8593tzS/pakistan.png
183,Mohammad Rizwan,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320458.png",Pakistani wicketkeeper-batsman known for his reliable batting and impressive keeping skills.,Right-hand bat,-,Wicketkeeper,https://i.postimg.cc/x8593tzS/pakistan.png
188,Shadab Khan,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320467.png","Pakistani leg-spinner and all-rounder, effective in both bowling and batting roles.",Right-hand bat,Right-arm legbreak,All-rounder,https://i.postimg.cc/x8593tzS/pakistan.png
197,Assad Vala,Papua New Guinea,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321100/321136.png",Papua New Guinean all-rounder known for his contributions with both bat and ball.,Right-hand bat,Right-arm offbreak,All-rounder,https://i.postimg.cc/sDM24J1p/papua.png
210,Hiri Hiri,Papua New Guinea,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321100/321144.png",Papua New Guinean player known for his contributions with bat and ball.,Right-hand bat,Right-arm medium,All-rounder,https://i.postimg.cc/sDM24J1p/papua.png
202,Kiplin Doriga,Papua New Guinea,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321100/321149.png",Papua New Guinean player known for his potential in various roles.,Right-hand bat,-,Wicketkeeper,https://i.postimg.cc/sDM24J1p/papua.png
201,Sese Bau,Papua New Guinea,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321100/321159.png",Papua New Guinean all-rounder known for his all-around contributions.,Right-hand bat,Right-arm medium,All-rounder,https://i.postimg.cc/sDM24J1p/papua.png
97,Curtis Campher,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321300/321343.png",All-rounder from Ireland known for his pace bowling and handy lower-order batting.,Right-hand bat,Right-arm medium-fast,All-rounder,https://i.postimg.cc/1579gVHf/Ireland.png
134,Abinash Bohara,Nepal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321400/321434.png",Nepalese player with potential and contributions in various cricket formats.,Right-hand bat,Right-arm fast-medium,Bowler,https://i.postimg.cc/3N6chhXJ/nepal.png
124,Anil Kumar Sah,Nepal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321735.png",Nepalese cricketer with potential in both batting and bowling departments.,Right-hand bat,Right-arm off break,Wicketkeeper-batsman,https://i.postimg.cc/3N6chhXJ/nepal.png
128,Lalit Rajbanshi,Nepal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321747.png",Nepalese cricketer with potential in both batting and bowling departments.,Left-hand bat,Left-arm orthodox,Bowler,https://i.postimg.cc/3N6chhXJ/nepal.png
176,Fayyaz Butt,Oman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321765.png",Omani cricketer noted for his contributions in various roles.,Right-hand bat,Right-arm medium-fast,Bowler,https://i.postimg.cc/DZ7Vp7g9/oman.png
168,Aqib Ilyas,Oman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321767.png",Omani all-rounder known for his useful contributions in both batting and bowling.,Right-hand bat,Right-arm medium,Batter,https://i.postimg.cc/DZ7Vp7g9/oman.png
175,Bilal Khan,Oman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321770.png","Omani pacer, effective in shorter formats with his pace and aggressive style.",Left-hand bat,Left-arm fast,Bowler,https://i.postimg.cc/DZ7Vp7g9/oman.png
174,Kaleemullah,Oman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321773.png",Omani fast bowler known for his pace and ability to take crucial wickets.,Right-hand bat,Right-arm medium-fast,Bowler,https://i.postimg.cc/DZ7Vp7g9/oman.png
307,Mehran Khan,Oman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321776.png",Omani cricketer known for his contributions with bat and ball.,Right-hand bat,Right-arm leg-spin,Bowler,https://i.postimg.cc/DZ7Vp7g9/oman.png
177,Mohammad Nadeem,Oman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321777.png",Omani all-rounder with impact both with the bat and ball.,Right-hand bat,Right-arm medium-fast,All-rounder,https://i.postimg.cc/DZ7Vp7g9/oman.png
173,Naseem Khushi,Oman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321778.png",Omani cricketer known for his skills in both batting and bowling.,Right-hand bat,-,Wicketkeeper,https://i.postimg.cc/DZ7Vp7g9/oman.png
167,Zeeshan Maqsood,Oman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321792.png","Omani captain and all-rounder, noted for his leadership and contributions with bat and ball.",Left-hand bat,Slow left-arm orthodox,All-rounder,https://i.postimg.cc/DZ7Vp7g9/oman.png
294,Akeal Hosein,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321900/321939.png",West Indian left-arm spinner known for his effective variations and impact in limited-overs cricket.,Left-hand,Left-arm orthodox,Bowler,https://i.postimg.cc/zXpc89Nr/windies.png
288,Alzarri Joseph,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321900/321943.png","West Indian fast bowler known for his pace and bounce, providing crucial breakthroughs in all formats.",Right-hand,Right-arm fast,Bowler,https://i.postimg.cc/zXpc89Nr/windies.png
296,Brandon King,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321900/321983.png",West Indian top-order batsman known for his aggressive batting and crucial innings in T20 cricket.,Right-hand,-,Batsman,https://i.postimg.cc/zXpc89Nr/windies.png
289,Johnson Charles,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322008.png",West Indian top-order batsman with a reputation for his powerful hitting and consistent performances.,Right-hand,-,Wicketkeeper-batsman,https://i.postimg.cc/zXpc89Nr/windies.png
332,Kyle Mayers,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322024.png",West Indian all-rounder known for his impactful performances with both bat and ball in various formats.,Right-hand bat,Right-Arm Medium,All-Rounder,https://i.postimg.cc/zXpc89Nr/windies.png
342,Obed McCoy,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322031.png",West Indian fast bowler with a reputation for his pace and ability to take crucial wickets in limited-overs cricket.,Left-hand bat,Left-arm fast,Bowler,https://i.postimg.cc/zXpc89Nr/windies.png
301,Romario Shepherd,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322037.png",West Indian all-rounder recognized for his fast bowling and aggressive lower-order batting.,Right-hand,Right-arm medium-fast,All-rounder,https://i.postimg.cc/zXpc89Nr/windies.png
290,Roston Chase,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322039.png","West Indian all-rounder known for his effective batting and off-spin bowling, contributing significantly in all formats.",Right-hand,Right-arm off-spin,All-rounder,https://i.postimg.cc/zXpc89Nr/windies.png
118,David Wiese,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322079.png",Namibian all-rounder known for his powerful hitting and useful medium-pace bowling.,Right-hand bat,Right-arm medium-fast,All-rounder,https://i.postimg.cc/CMByvrHL/namibia.png
309,Iftikhar Ahmed,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322100/322153.png",Pakistani all-rounder known for his middle-order batting and useful contributions with the ball.,Right-hand bat,Right-arm off-spin,All-rounder,https://i.postimg.cc/x8593tzS/pakistan.png
312,Abbas Afridi,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322100/322158.png",Pakistani cricketer with a focus on pace and impact in limited-overs cricket.,Right-hand bat,Right-Arm Fast,Bowler,https://i.postimg.cc/x8593tzS/pakistan.png
287,Rovman Powell,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322100/322172.png","West Indian all-rounder known for his explosive batting and useful medium pace, playing a key role in limited-overs cricket.",Right-hand,Right-arm medium,All-rounder,https://i.postimg.cc/zXpc89Nr/windies.png
300,Sherfane Rutherford,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322100/322173.png","West Indian all-rounder known for his aggressive batting and useful medium pace, contributing in limited-overs cricket.",Left-hand,Right-arm medium,All-rounder,https://i.postimg.cc/zXpc89Nr/windies.png
13,Arshdeep Singh,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322100/322178.png",Indian fast bowler known for his left-arm pace and ability to perform in the death overs.,Left-hand bat,Left-arm fast-medium,Bowler,https://i.postimg.cc/9FmPp07d/India.png
192,Haris Rauf,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322202.png",Pakistani fast bowler with a reputation for his pace and ability to bowl in death overs.,Right-hand bat,Right-arm fast,Bowler,https://i.postimg.cc/x8593tzS/pakistan.png
313,Naseem Shah,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322223.png",Pakistani fast bowler known for his pace and skill at a young age.,Right-hand bat,Right-Arm Fast,Bowler,https://i.postimg.cc/x8593tzS/pakistan.png
191,Shaheen Afridi,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322250.png","Pakistani left-arm fast bowler known for his pace and swing, and impactful spells.",Left-hand bat,Left-arm fast,Bowler,https://i.postimg.cc/x8593tzS/pakistan.png
142,Max O'Dowd,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322500/322583.png",Dutch batsman known for his solid performances and contributions in T20 formats.,Right-hand bat,-,Batter,https://i.postimg.cc/VNRZ6nqh/netherlands.png
137,Scott Edwards,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322500/322592.png",Dutch wicketkeeper-batsman known for his solid batting and leadership in the team.,Right-hand bat,-,Wicketkeeper,https://i.postimg.cc/VNRZ6nqh/netherlands.png
15,Mohammed Siraj,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322611.png","Indian fast bowler known for his pace and swing, providing crucial breakthroughs in domestic and international cricket.",Right-hand bat,Right-arm fast,Bowler,https://i.postimg.cc/9FmPp07d/India.png
139,Bas de Leede,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322637.png",Dutch all-rounder known for his contributions with both bat and ball in T20 and ODI formats.,Right-hand bat,Right-arm medium,All-rounder,https://i.postimg.cc/VNRZ6nqh/netherlands.png
144,Paul van Meekeren,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322644.png",Dutch fast bowler known for his pace and ability to pick up early wickets.,Right-hand bat,Right-arm fast-medium,Bowler,https://i.postimg.cc/VNRZ6nqh/netherlands.png
7,Sanju Samson ,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322700/322701.png",Indian wicketkeeper-batsman recognized for his stylish stroke play and contributions in limited-overs cricket.,Right-hand bat,-,Wicketkeeper-batsman,https://i.postimg.cc/9FmPp07d/India.png
247,Wanindu Hasaranga,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322900/322946.png",Sri Lankan leg-spinner and all-rounder known for his variations and impact in limited-overs cricket.,Right-hand bat,Right-arm legbreak,All-rounder,https://i.postimg.cc/cLrn95Bh/SL.png
6,Rishabh Pant ,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323036.png",Indian wicketkeeper-batsman known for his aggressive batting and dynamic glovework in all formats.,Left-hand bat,-,Wicketkeeper-batsman,https://i.postimg.cc/9FmPp07d/India.png
327,Sadeera Samarawickrama,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323069.png",Sri Lankan wicketkeeper-batsman with solid performances and potential as a key player in limited-overs cricket.,Right-hand bat,-,Wicketkeeper-batsman,https://i.postimg.cc/cLrn95Bh/SL.png
244,Pathum Nissanka,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323070.png",Sri Lankan top-order batsman known for his solid technique and consistency in various formats.,Right-hand bat,-,Batter,https://i.postimg.cc/cLrn95Bh/SL.png
297,Gudakesh Motie,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/326100/326127.png",West Indian left-arm spinner recognized for his effective spin bowling in domestic and international formats.,Left-hand,Left-arm orthodox,Bowler,https://i.postimg.cc/zXpc89Nr/windies.png
310,Saim Ayub,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/326400/326498.png",Pakistani young talent with potential in both batting and bowling.,Left-hand bat,Right-Arm Off Spin,All-rounder,https://i.postimg.cc/x8593tzS/pakistan.png
314,Azam Khan,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/326500/326525.png",Pakistani batsman with power-hitting abilities and potential in T20s.,Right-hand bat,-,Wicketkeeper-batsman,https://i.postimg.cc/x8593tzS/pakistan.png
242,Dasun Shanaka,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/328000/328058.png","Sri Lankan all-rounder known for his aggressive batting and useful medium pace, as well as his leadership skills.",Right-hand bat,Right-arm medium,All-rounder,https://i.postimg.cc/cLrn95Bh/SL.png
106,Gerhard Erasmus ,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329755.png",Namibian captain and all-rounder known for his leadership and contributions with both bat and ball.,Right-hand bat,Right-arm off break,All-rounder,https://i.postimg.cc/CMByvrHL/namibia.png
119,Bernard Scholtz,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329759.png",Namibian left-arm spinner known for his control and ability to take crucial middle-overs wickets.,Right-hand bat,Left-arm orthodox,Bowler,https://i.postimg.cc/CMByvrHL/namibia.png
112,Ben Shikongo,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329760.png",Namibian player known for his bowling skills and contributions to the team’s performance.,Right-hand bat,Right-arm fast-medium,Bowler,https://i.postimg.cc/CMByvrHL/namibia.png
115,JJ Smit,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329762.png",Namibian all-rounder known for his bowling capabilities and handy lower-order batting.,Left-hand bat,Left-arm fast-medium,All-rounder,https://i.postimg.cc/CMByvrHL/namibia.png
127,Dipendra Singh Airee,Nepal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/330400/330438.png",Nepalese all-rounder known for his batting and bowling capabilities.,Right-hand bat,Right-arm off break,All-rounder,https://i.postimg.cc/3N6chhXJ/nepal.png
133,Gulshan Jha,Nepal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/330400/330440.png",Nepalese cricketer known for his skills and potential in domestic cricket.,Left-hand bat,Right-arm medium,All-rounder,https://i.postimg.cc/3N6chhXJ/nepal.png
129,Karan KC,Nepal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/330400/330442.png",Nepalese player known for his emerging talent and potential in domestic and international cricket.,Right-hand bat,Right-arm fast-medium,All-rounder,https://i.postimg.cc/3N6chhXJ/nepal.png
125,Kushal Bhurtel,Nepal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/330400/330443.png",Nepalese batsman known for his aggressive style and contributions in T20 formats.,Right-hand bat,Left-arm orthodox,Batsman,https://i.postimg.cc/3N6chhXJ/nepal.png
126,Kushal Malla,Nepal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/330400/330446.png",Young Nepalese cricketer known for his potential and impressive performances in domestic cricket.,Left-hand bat,Left-arm orthodox,All-rounder,https://i.postimg.cc/3N6chhXJ/nepal.png
123,Aasif Sheikh,Nepal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/330400/330462.png",Nepalese player known for his batting skills and contributions to the team’s performance.,Right-hand bat,Right-arm medium,Wicketkeeper-batsman,https://i.postimg.cc/3N6chhXJ/nepal.png
122,Rohit Paudel ,Nepal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/330400/330466.png",Nepalese cricketer known for his all-round skills and potential in various formats.,Right-hand bat,Right-arm off break,All-rounder,https://i.postimg.cc/3N6chhXJ/nepal.png
302,Sandeep Lamichhane,Nepal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/330400/330467.png",Nepalese leg-spinner renowned for his T20 performances and wicket-taking abilities.,Right-hand bat,Leg-Spin,Bowler,https://i.postimg.cc/3N6chhXJ/nepal.png
130,Sompal Kami,Nepal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/330400/330477.png",Nepalese all-rounder known for his useful contributions with both bat and ball.,Right-hand bat,Right-arm fast-medium,All-rounder,https://i.postimg.cc/3N6chhXJ/nepal.png
5,Suryakumar Yadav,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/331100/331163.png",Indian middle-order batsman known for his innovative stroke play and match-winning innings in T20 formats.,Right-hand bat,Right-arm off break,Batsman,https://i.postimg.cc/9FmPp07d/India.png
